Test Window,Threshold_IQR,AUC,Accuracy,Precision,Recall,F1 Score,Specificity
10,0,0.612812,0.596929,0.634042,0.627022,0.630512,0.560375
20,0,0.608214,0.579011,0.619661,0.609331,0.614452,0.541871
30,0,0.563229,0.544779,0.592608,0.564802,0.578371,0.520027
40,0,0.511505,0.507429,0.561791,0.513309,0.536457,0.500087
50,0,0.420741,0.443411,0.501453,0.429073,0.462448,0.461510
60,0,0.364242,0.402402,0.459876,0.374273,0.412682,0.438343
70,0,0.312370,0.365445,0.425188,0.353960,0.386318,0.380320
80,0,0.286656,0.344715,0.403996,0.323510,0.359300,0.372592
90,0,0.256435,0.317301,0.371704,0.280064,0.319442,0.367086
100,0,0.251545,0.313344,0.369314,0.269202,0.311410,0.373500
